revisionId	branch	timestamp	comment	parent1	parent2
7538:2512272f5819	infinica_5.0	Thu Sep 29 15:53:51 CEST 2016	mleitner	allow setting of the AES key for Serializer per thread, not only locally	7535:ad75486711c0	null
7537:d48be0d7049c	infinica_5.1	Thu Sep 29 15:23:13 CEST 2016	Bogdan Mustiata	Send the editor for deletion.	null	null
7536:48c909645bdb	infinica_5.1	Thu Sep 29 15:00:24 CEST 2016	Bogdan Mustiata	Merge group and delete BB operations changed to use promises.	7533:fe52dbcda742	null
7535:ad75486711c0	infinica_5.0	Thu Sep 29 13:42:29 CEST 2016	mleitner	#REP-73: ZIP-Import: version creation date is always the import date -> breaks version by date feature	7511:f0af03017c21	null
7534:30f3e5948019	infinica_5.1_tmertes	Thu Sep 29 10:11:11 CEST 2016	tmertes	Merge with infinica_5.1	7532:a0ee3f1ce19f	7532:a0ee3f1ce19f
7533:fe52dbcda742	infinica_5.1	Thu Sep 29 10:10:17 CEST 2016	tmertes	Merge with infinica_5.1_tmertes	7530:de63a9a32838	7530:de63a9a32838
7532:a0ee3f1ce19f	infinica_5.1_tmertes	Thu Sep 29 09:40:28 CEST 2016	tmertes	Merge with infinica_5.1	7531:14d816476b07	7531:14d816476b07
7531:14d816476b07	infinica_5.1_tmertes	Thu Sep 29 09:37:48 CEST 2016	tmertes	TD-2311: Expand new created table to fit the page when the column width is empty	7505:ab67695bf0a9	null
7530:de63a9a32838	infinica_5.1	Thu Sep 29 07:10:13 CEST 2016	mbranicky	Merge with infinica_5.1_mbranicky	7523:fb75ea436280	7523:fb75ea436280
7529:eac9c8706cf4	infinica_5.1_mbranicky	Thu Sep 29 07:06:55 CEST 2016	mbranicky	Merge with infinica_5.1	7528:41e71812bc28	7528:41e71812bc28
7528:41e71812bc28	infinica_5.1_mbranicky	Thu Sep 29 07:02:29 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - empty initial comments list fixes.	null	null
7527:5c0dbb79cd8d	infinica_5.1_mbranicky	Wed Sep 28 17:04:12 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - empty initial comments list fixes.	null	null
7526:6f3565def517	infinica_5.1_mbranicky	Wed Sep 28 15:42:06 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - finetuning and translations.	null	null
7525:55c6b3316e8b	infinica_5.1_mbranicky	Wed Sep 28 14:56:14 CEST 2016	mbranicky	WP-857 Implement a possibility to manage HT comments - comment type maintanance done.	7458:85a8ebe820bf	null
7524:e35585597e5c	infinica_5.1_sso	Wed Sep 28 21:28:03 CEST 2016	mschedenig	Fixed modular authentication config.	7521:8f5f84b331a4	null
7523:fb75ea436280	infinica_5.1	Wed Sep 28 18:01:53 CEST 2016	Michal Oravec	Merge	7522:a0f147f0b6e9	7522:a0f147f0b6e9
7522:a0f147f0b6e9	infinica_5.1	Wed Sep 28 17:52:41 CEST 2016	Michal Oravec	WP rt updates	7498:55c798112b1e	null
